ID,Account Type,Opening Balance,Closing Balance
L06744557,High Growth,51065.15,34275.97
I08909482,Low Risk,41733.18,35545.45
D07207303,High Growth,18783.0,12340.38
F09568259,Low Risk,72048.52,61447.69
W03053073,High Growth,18358.74,12052.09
J08592485,Low Risk,25352.42,21549.29
X03937347,Balanced,21106.56,16129.02
P05110721,Balanced,27765.03,21357.84
U06486241,High Growth,40718.62,27245.54
T01515379,High Growth,29679.24,19744.33
K09702365,High Growth,11247.65,7220.14
W03061544,Low Risk,39299.87,33466.36
J06059189,Low Risk,19467.74,16521.26
W00301708,Low Risk,46614.34,39716.05
E03920001,High Growth,40777.07,27285.26
P02554127,High Growth,32306.22,21529.35
J09349694,Low Risk,57220.4,48778.15
P08134237,Balanced,52349.35,40663.61
G08088620,High Growth,38967.8,26055.87
I06935957,Low Risk,26871.42,22847.16
Q03057538,High Growth,23565.09,15589.79
D09228749,Low Risk,10702.99,9032.42
R01344060,Low Risk,51467.51,43862.72
A07292344,Balanced,23735.3,18193.34
A08642928,Low Risk,36780.75,31313.96
K06657398,Balanced,35617.72,27524.46
Z05729972,Low Risk,17729.86,15036.37
V06325420,Low Risk,23187.09,19699.17
A05812250,High Growth,43753.92,29308.02
I03584585,Balanced,36978.96,28593.43
O01698529,Low Risk,31219.99,26562.7
J00273720,Balanced,39681.71,30715.86
O04041578,High Growth,18006.86,11812.99
U07294448,Low Risk,14499.94,12276.64
L02610309,High Growth,48445.79,32496.12
O01904965,Balanced,28127.75,21642.68
B07935585,Low Risk,26276.79,22339.09
E09883043,Balanced,50282.0,39040.14
Q09472895,Low Risk,47605.48,40562.9
P06444227,High Growth,14066.7,9135.67
G02470619,Low Risk,17682.23,14995.67
F03629057,High Growth,25765.58,17085.01
J05951434,High Growth,25567.3,16950.28
E02121826,Low Risk,21682.76,18413.83
S07283787,Balanced,10247.84,7601.8
A03675944,Low Risk,21013.78,17842.24
D05089927,Low Risk,40005.31,34069.11
O01482107,Low Risk,30111.59,25615.65
V04778450,Low Risk,42479.76,36183.35
A09324763,Low Risk,45928.14,39129.74
E01020904,Balanced,6273.29,4480.64
I05161752,High Growth,41236.84,27597.67
L04080002,Low Risk,29585.9,25166.49
D05374640,Low Risk,31726.36,26995.35
P09524549,Balanced,53080.86,41238.05
V08004970,Low Risk,27767.55,23612.84
A03990465,High Growth,20686.0,13633.46
E04263703,Balanced,21408.54,16366.17
S08280574,High Growth,61208.62,41168.42
P02113947,Low Risk,19162.49,16260.44
M09395634,High Growth,44735.63,29975.09
P07866779,Low Risk,43538.09,37087.61
E00152272,High Growth,59150.21,39769.73
K00445575,High Growth,23064.7,15249.77
O03880076,Low Risk,27614.42,23482.0
I06081457,High Growth,12779.81,8261.23
X06379721,High Growth,14478.71,9415.63
P05800842,High Growth,61108.66,41100.49
I03323007,High Growth,30501.88,20303.31
Q05271974,Balanced,35389.94,27345.59
S06633325,High Growth,66917.3,45047.44
X03989086,Low Risk,20935.47,17775.33
D04837633,High Growth,18644.67,12246.38
K04245460,High Growth,12751.12,8241.74
K07930533,Low Risk,21442.22,18208.31
B01884144,High Growth,42902.74,28729.64
X05856411,Balanced,25925.81,19913.52
M02743440,Low Risk,34775.47,29600.6
Y05612242,High Growth,41978.57,28101.67
M04700444,Low Risk,60984.21,51994.05
O06663117,Balanced,11245.54,8385.29
P05863640,Balanced,36913.3,28541.87
R02410009,Low Risk,9958.93,8396.67
M02362114,High Growth,64471.42,43385.48
E07561130,Balanced,27189.89,20906.19
G09753279,Low Risk,57223.34,48780.66
S09084436,Balanced,18283.61,13912.2
W03534783,Balanced,22467.74,17197.94
M07070550,Balanced,29462.88,22691.14
R03619165,Low Risk,40980.62,34902.44
F01291239,High Growth,57714.31,38794.05
P05609438,High Growth,30997.5,20640.08
E05733699,Balanced,40957.53,31717.75
V02053622,Low Risk,42058.42,35823.34
K00847806,Low Risk,10895.82,9197.18
X01809680,Low Risk,57964.56,49413.98
A09120720,High Growth,43442.75,29096.58
T03643942,Balanced,70326.49,54780.84
F06766928,Balanced,16804.21,12750.44
O04845007,Balanced,53274.8,41390.35
Q08948009,High Growth,28432.69,18897.3
R07342317,High Growth,29811.32,19834.08
S02829115,Low Risk,25221.35,21437.3
T06580398,Low Risk,53518.42,45615.08
P01741223,High Growth,88516.27,59723.86
A07895518,High Growth,30404.92,20237.42
Q04553672,Low Risk,38963.23,33178.73
S08476156,High Growth,24116.79,15964.67
K03962530,Low Risk,28254.34,24028.77
M05923761,High Growth,19927.95,13118.37
Z06824990,Balanced,31496.55,24288.16
R05839819,Low Risk,29641.55,25214.04
O06697864,Low Risk,26659.68,22666.25
U07255414,Low Risk,25532.35,21703.02
M03889671,Low Risk,26070.8,22163.09
D09224499,Low Risk,21413.64,18183.89
X03476316,High Growth,15077.58,9822.56
H09869692,Balanced,27754.49,21349.56
X00478796,High Growth,38352.2,25637.57
G08251524,Low Risk,28452.74,24198.28
C02068760,High Growth,19114.96,12565.94
M06843291,High Growth,36344.25,24273.18
X06515763,Low Risk,52214.37,44500.86
T01632162,High Growth,19984.23,13156.61
F08604830,Low Risk,13111.03,11089.91
H05763607,High Growth,22758.22,15041.52
L02381599,High Growth,34779.8,23210.14
N06933929,Balanced,21070.7,16100.86
G03032081,Balanced,35013.41,27049.9
Y08704529,Low Risk,19670.51,16694.51
C02073875,High Growth,24209.49,16027.65
A01229769,Low Risk,26195.86,22269.95
A07890209,High Growth,36883.89,24639.86
H09950298,Low Risk,36706.98,31250.93
C09882786,High Growth,59713.94,40152.79
E03311538,Balanced,46370.7,35968.65
T09916154,Low Risk,23304.13,19799.17
W01340348,Low Risk,62396.51,53200.76
H06880793,High Growth,25160.11,16673.6
W05872727,Low Risk,39188.65,33371.34
N05748805,Balanced,22330.73,17090.35
Z00932754,Balanced,21490.69,16430.68
K08401081,Low Risk,45145.79,38461.28
F06257240,High Growth,30727.39,20456.54
M05662219,High Growth,21469.53,14165.86
M05613943,Balanced,40674.39,31495.4
P08120353,High Growth,23902.2,15818.85
R08741988,High Growth,21941.1,14486.29
T08348346,Balanced,25911.97,19902.65
H05423450,High Growth,26485.1,17573.92
K00689238,Balanced,40011.53,30974.87
M02169105,Low Risk,44740.46,38114.95
B05301863,High Growth,49079.67,32926.84
O02198311,High Growth,44634.4,29906.3
N04399229,High Growth,32598.12,21727.7
B09683089,Low Risk,36009.2,30654.73
F05414083,High Growth,68962.95,46437.45
X07356751,High Growth,50711.29,34035.52
